ID,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
853,43,management,married,tertiary,no,40,no,no,cellular,10,feb,147,1,-1,0,unknown,yes
854,46,management,divorced,tertiary,no,2166,yes,no,cellular,23,jul,870,1,-1,0,unknown,yes
855,50,blue-collar,married,unknown,no,2284,yes,no,telephone,31,jul,1088,17,-1,0,unknown,yes
856,40,management,married,tertiary,no,7780,no,no,telephone,4,may,364,1,355,1,other,no
857,57,housemaid,married,primary,no,1969,no,no,cellular,14,aug,286,3,-1,0,unknown,no
858,53,management,married,tertiary,no,1624,no,no,cellular,30,apr,284,3,84,3,success,yes
859,39,entrepreneur,married,primary,no,437,yes,no,unknown,27,oct,150,1,-1,0,unknown,yes
860,32,services,married,secondary,no,3839,yes,no,cellular,18,nov,100,2,189,1,failure,no
861,37,management,married,tertiary,no,40,no,no,cellular,27,aug,1033,4,-1,0,unknown,yes
862,30,blue-collar,single,secondary,no,799,no,no,unknown,13,jun,674,1,-1,0,unknown,yes
863,39,admin.,married,secondary,no,47,yes,no,cellular,16,aug,143,2,371,6,failure,no
864,38,self-employed,married,secondary,no,290,yes,no,unknown,20,may,369,1,-1,0,unknown,no
865,37,management,single,tertiary,no,455,yes,no,cellular,13,aug,904,6,-1,0,unknown,yes
866,34,technician,married,tertiary,no,3743,yes,no,cellular,18,may,722,4,-1,0,unknown,yes
867,27,services,single,secondary,no,195,yes,no,cellular,25,feb,416,3,-1,0,unknown,yes
868,45,housemaid,married,secondary,no,360,no,no,cellular,3,nov,215,1,-1,0,unknown,yes
869,32,blue-collar,married,secondary,no,1,yes,no,unknown,8,may,102,1,-1,0,unknown,no
870,40,management,married,secondary,no,643,yes,no,cellular,17,apr,74,2,256,1,failure,no
871,45,management,married,tertiary,no,655,no,no,unknown,20,jun,693,3,-1,0,unknown,yes
872,36,self-employed,single,tertiary,no,258,no,no,cellular,5,feb,230,1,-1,0,unknown,no
873,44,services,married,secondary,no,808,yes,no,unknown,2,jun,67,2,-1,0,unknown,no
874,26,technician,single,secondary,no,3244,no,no,cellular,2,feb,141,1,5,1,failure,no
875,57,management,married,tertiary,no,256,no,no,cellular,6,mar,227,1,-1,0,unknown,yes
876,42,blue-collar,married,secondary,no,1958,yes,no,unknown,30,may,124,3,-1,0,unknown,no
877,82,housemaid,divorced,primary,no,1381,no,no,cellular,28,jan,86,3,93,1,failure,no
878,39,management,single,tertiary,no,5047,no,no,cellular,29,apr,218,4,-1,0,unknown,yes
879,33,management,married,tertiary,no,403,yes,no,unknown,26,may,114,2,-1,0,unknown,no
880,33,blue-collar,married,primary,no,0,no,no,cellular,8,may,174,1,-1,0,unknown,no
881,48,housemaid,married,tertiary,no,5473,no,no,cellular,24,aug,232,2,-1,0,unknown,yes
882,59,retired,married,primary,yes,-13,no,no,cellular,11,aug,77,1,-1,0,unknown,no
883,48,blue-collar,married,secondary,no,1730,yes,no,cellular,4,may,361,1,89,3,success,yes
884,54,management,married,tertiary,no,6525,yes,no,cellular,19,nov,133,1,170,3,failure,no
885,43,housemaid,married,primary,no,0,yes,no,cellular,25,aug,152,3,-1,0,unknown,no
886,45,unemployed,married,tertiary,no,1148,no,no,cellular,19,nov,782,2,-1,0,unknown,no
887,53,management,married,tertiary,no,15,no,no,cellular,20,aug,921,2,-1,0,unknown,yes
888,29,admin.,divorced,secondary,no,1320,yes,yes,unknown,8,may,489,1,-1,0,unknown,no
889,27,technician,single,tertiary,no,-67,yes,no,cellular,6,apr,604,3,236,2,failure,yes
890,51,admin.,married,secondary,no,2662,no,no,telephone,28,jan,148,2,-1,0,unknown,no
891,45,unemployed,married,secondary,no,891,yes,no,unknown,7,jan,118,1,-1,0,unknown,yes
892,31,management,divorced,tertiary,no,414,no,yes,cellular,16,jul,241,1,-1,0,unknown,yes
893,50,entrepreneur,married,secondary,no,1857,no,yes,unknown,19,jun,26,2,-1,0,unknown,no
894,44,services,married,secondary,no,1450,yes,no,cellular,14,apr,356,1,314,2,failure,no
895,47,management,single,tertiary,no,86,no,no,cellular,30,apr,387,3,87,1,success,yes
896,53,services,divorced,secondary,no,765,yes,no,cellular,14,may,959,3,174,7,other,yes
897,26,blue-collar,married,secondary,no,2770,yes,no,unknown,8,may,141,1,-1,0,unknown,no
898,33,technician,married,tertiary,no,2728,no,no,cellular,5,aug,295,2,-1,0,unknown,no
899,34,technician,married,tertiary,no,5547,yes,no,cellular,19,aug,73,6,-1,0,unknown,no
900,35,blue-collar,married,secondary,no,5639,yes,no,cellular,20,nov,945,2,-1,0,unknown,yes
901,26,technician,single,secondary,no,84,yes,no,cellular,29,jul,70,3,-1,0,unknown,no
902,30,management,single,tertiary,no,2708,no,no,cellular,19,nov,479,1,-1,0,unknown,no
903,33,admin.,single,tertiary,no,490,yes,no,cellular,7,may,31,1,363,2,failure,no
904,24,blue-collar,single,secondary,no,1,yes,no,cellular,11,may,79,2,-1,0,unknown,no
905,56,admin.,single,secondary,no,2815,yes,no,cellular,11,sep,212,1,-1,0,unknown,yes
906,42,housemaid,married,primary,no,-209,no,yes,cellular,11,aug,90,2,-1,0,unknown,no
907,45,management,married,secondary,no,446,no,no,cellular,6,aug,304,3,-1,0,unknown,yes
908,36,student,married,primary,no,3503,no,no,unknown,6,jun,31,1,-1,0,unknown,no
909,41,management,married,tertiary,no,-412,yes,no,cellular,29,jan,85,1,195,5,other,no
910,45,technician,married,secondary,no,3492,yes,yes,unknown,20,jun,46,4,-1,0,unknown,no
911,37,blue-collar,divorced,secondary,no,614,yes,no,unknown,20,may,185,1,-1,0,unknown,no
912,69,technician,married,secondary,no,9064,no,no,cellular,7,aug,714,1,-1,0,unknown,yes
913,50,admin.,married,secondary,no,-1415,no,no,cellular,19,aug,358,2,-1,0,unknown,no
914,35,entrepreneur,married,secondary,no,1309,yes,no,cellular,18,nov,73,3,-1,0,unknown,no
915,44,self-employed,married,unknown,no,163,yes,no,cellular,4,may,364,3,-1,0,unknown,yes
916,40,technician,married,secondary,no,192,yes,yes,cellular,15,may,16,8,351,5,failure,no
917,50,technician,divorced,secondary,no,0,no,no,cellular,1,apr,280,1,184,3,success,yes
918,61,admin.,married,unknown,no,4629,yes,no,cellular,29,jul,349,3,183,2,success,yes
919,46,unemployed,divorced,secondary,no,41,yes,no,unknown,12,may,249,4,-1,0,unknown,no
920,35,management,single,tertiary,no,1756,no,no,cellular,20,aug,195,1,-1,0,unknown,yes
921,37,blue-collar,married,secondary,yes,-399,yes,yes,unknown,3,jun,21,3,-1,0,unknown,no
922,42,management,married,tertiary,no,1275,yes,yes,cellular,21,nov,925,5,-1,0,unknown,yes
923,49,management,single,tertiary,no,151,yes,no,cellular,8,jul,97,3,-1,0,unknown,yes
924,39,management,single,tertiary,no,0,yes,no,cellular,22,may,271,1,93,3,success,yes
925,39,services,married,secondary,no,2,yes,no,cellular,25,jul,174,10,-1,0,unknown,no
926,44,entrepreneur,married,tertiary,no,624,no,no,telephone,14,aug,552,2,-1,0,unknown,yes
927,27,services,married,secondary,no,0,yes,no,cellular,17,jul,991,5,-1,0,unknown,yes
928,46,blue-collar,married,secondary,no,137,no,no,unknown,20,jun,252,3,-1,0,unknown,no
929,26,blue-collar,single,secondary,no,1006,yes,no,cellular,14,may,667,1,-1,0,unknown,yes
930,38,blue-collar,married,primary,no,5839,yes,no,unknown,4,jun,984,2,-1,0,unknown,yes
931,34,management,single,tertiary,no,2646,no,no,cellular,14,apr,142,1,-1,0,unknown,yes
932,38,blue-collar,married,secondary,no,35,yes,no,unknown,28,may,130,2,-1,0,unknown,no
933,42,management,single,tertiary,no,0,yes,yes,unknown,5,may,562,2,-1,0,unknown,yes
934,30,management,single,tertiary,no,985,yes,no,cellular,25,oct,304,1,94,2,success,yes
935,25,technician,single,secondary,no,139,no,yes,cellular,11,jan,202,1,91,1,success,yes
936,44,management,married,unknown,no,21,no,no,cellular,24,aug,323,2,-1,0,unknown,no
937,45,technician,married,secondary,no,6993,yes,no,cellular,20,nov,283,1,-1,0,unknown,yes
938,54,services,divorced,secondary,no,0,no,no,cellular,18,mar,362,1,290,3,success,yes
939,33,admin.,single,secondary,no,1221,yes,no,unknown,23,may,245,1,-1,0,unknown,no
940,29,management,married,tertiary,no,0,yes,no,telephone,15,jul,91,2,-1,0,unknown,no
941,29,self-employed,single,tertiary,no,655,no,no,cellular,23,mar,273,1,-1,0,unknown,yes
942,28,blue-collar,married,secondary,no,-470,yes,no,cellular,7,may,275,2,-1,0,unknown,no
943,40,technician,married,tertiary,no,84,no,no,cellular,28,aug,715,8,-1,0,unknown,no
944,25,services,single,secondary,no,199,no,no,cellular,16,aug,111,2,95,3,other,no
945,37,admin.,divorced,secondary,no,1573,yes,no,cellular,12,may,639,3,326,10,failure,no
946,36,blue-collar,divorced,secondary,no,719,yes,no,unknown,13,may,1052,1,-1,0,unknown,no
947,35,admin.,married,secondary,no,2,yes,no,cellular,18,mar,194,1,-1,0,unknown,yes
948,34,technician,single,secondary,no,664,yes,yes,cellular,11,may,88,2,343,2,other,no
949,35,unemployed,married,secondary,no,978,no,no,cellular,29,jun,660,2,182,6,success,yes
950,45,technician,divorced,secondary,no,0,no,no,cellular,26,aug,64,2,-1,0,unknown,no
951,44,services,married,secondary,no,1335,yes,no,cellular,30,jul,94,5,-1,0,unknown,no
952,33,services,married,secondary,no,403,yes,no,unknown,20,may,274,2,-1,0,unknown,no
953,62,management,divorced,tertiary,no,5943,no,no,telephone,17,feb,196,4,-1,0,unknown,yes
954,59,technician,married,secondary,no,116,no,no,cellular,11,feb,268,1,183,7,success,yes
955,35,admin.,married,secondary,no,-203,yes,no,cellular,11,jul,1649,2,-1,0,unknown,yes
956,35,entrepreneur,single,secondary,no,866,yes,no,cellular,19,nov,147,1,-1,0,unknown,no
957,32,services,married,secondary,no,144,yes,no,unknown,19,may,260,11,-1,0,unknown,no
958,40,entrepreneur,divorced,tertiary,no,224,no,no,unknown,20,jun,606,1,-1,0,unknown,no
959,37,management,married,secondary,no,5447,yes,yes,cellular,17,nov,1789,1,-1,0,unknown,yes
960,26,management,single,tertiary,no,828,yes,no,cellular,17,aug,156,1,199,1,failure,yes
961,31,unemployed,divorced,tertiary,no,256,yes,no,cellular,16,jul,873,2,-1,0,unknown,yes
962,44,management,married,tertiary,no,423,no,no,cellular,12,mar,2330,5,-1,0,unknown,yes
963,36,technician,married,secondary,no,480,no,no,cellular,20,oct,213,1,-1,0,unknown,yes
964,57,management,married,secondary,no,2155,no,yes,cellular,10,nov,144,3,91,2,failure,yes
965,32,blue-collar,single,secondary,no,799,no,yes,cellular,23,jul,2078,6,-1,0,unknown,yes
966,44,services,married,secondary,no,983,no,no,cellular,28,jan,123,1,-1,0,unknown,no
967,45,management,divorced,tertiary,no,6200,no,no,cellular,29,jul,103,2,-1,0,unknown,no
968,37,student,single,unknown,no,444,no,no,cellular,14,aug,137,1,102,5,success,yes
969,39,technician,married,tertiary,no,11766,yes,no,cellular,14,aug,313,4,102,5,failure,no
970,35,management,married,tertiary,no,-468,yes,no,cellular,30,jul,540,8,-1,0,unknown,yes
971,32,entrepreneur,married,secondary,no,390,no,no,cellular,6,sep,440,1,280,1,failure,yes
972,50,housemaid,married,primary,no,5296,no,no,cellular,19,nov,64,7,-1,0,unknown,no
973,41,blue-collar,married,secondary,no,5060,no,no,cellular,4,may,963,1,83,3,success,yes
974,49,blue-collar,married,secondary,no,553,no,no,cellular,12,aug,645,8,-1,0,unknown,yes
975,49,management,married,tertiary,no,5887,no,no,cellular,2,jun,181,3,293,2,failure,yes
976,41,technician,single,secondary,no,650,yes,no,cellular,20,nov,2420,3,-1,0,unknown,yes
977,43,management,married,tertiary,no,3186,no,no,cellular,16,nov,380,1,88,1,failure,yes
978,33,admin.,married,secondary,no,95,yes,no,cellular,30,apr,335,1,-1,0,unknown,yes
979,44,admin.,single,secondary,no,275,yes,no,cellular,14,may,7,5,367,4,failure,no
980,38,admin.,married,secondary,no,215,yes,yes,unknown,6,jun,173,2,-1,0,unknown,no
981,48,blue-collar,married,primary,no,719,no,yes,cellular,11,aug,418,5,-1,0,unknown,yes
982,32,blue-collar,divorced,unknown,no,291,yes,yes,unknown,27,jun,120,6,-1,0,unknown,no
983,49,management,married,secondary,no,99,yes,no,cellular,6,may,687,2,343,1,failure,yes
984,29,blue-collar,married,secondary,no,-28,yes,no,unknown,12,may,393,1,-1,0,unknown,no
985,34,technician,married,unknown,no,4053,yes,no,unknown,23,may,123,2,-1,0,unknown,no
986,41,technician,single,tertiary,no,1646,yes,no,cellular,5,aug,172,3,92,8,success,yes
987,44,entrepreneur,divorced,secondary,no,1,no,no,cellular,31,jul,388,4,-1,0,unknown,no
988,39,admin.,single,secondary,no,2263,yes,yes,telephone,21,nov,1158,9,-1,0,unknown,yes
989,34,admin.,married,secondary,no,61,no,yes,unknown,5,may,21,1,-1,0,unknown,no
990,55,entrepreneur,married,secondary,no,814,no,yes,cellular,28,jul,69,12,-1,0,unknown,no
991,30,technician,single,secondary,no,1165,no,no,cellular,4,jun,204,2,183,3,success,yes
992,30,blue-collar,single,secondary,no,-93,yes,no,unknown,27,may,149,2,-1,0,unknown,no
993,48,blue-collar,married,secondary,no,558,yes,no,telephone,5,feb,708,8,-1,0,unknown,no
994,58,entrepreneur,married,secondary,no,670,yes,no,cellular,12,may,1272,1,-1,0,unknown,yes
995,34,technician,married,tertiary,no,100,no,no,cellular,20,aug,196,2,-1,0,unknown,no
996,58,management,married,tertiary,no,96,no,no,cellular,21,nov,850,1,-1,0,unknown,yes
997,49,blue-collar,married,primary,no,1898,no,no,cellular,21,aug,159,1,-1,0,unknown,no
998,36,technician,single,secondary,no,12264,no,no,cellular,12,apr,158,2,-1,0,unknown,yes
999,59,unemployed,married,secondary,no,957,no,no,cellular,9,dec,479,2,-1,0,unknown,yes
1000,45,technician,single,tertiary,no,5336,no,no,unknown,28,may,99,2,-1,0,unknown,no
1001,50,management,married,tertiary,no,2570,no,no,cellular,18,nov,273,2,-1,0,unknown,no
1002,31,unemployed,single,primary,no,163,no,no,cellular,30,jan,707,2,2,1,other,yes
1003,67,management,married,tertiary,no,405,no,no,cellular,7,aug,345,2,-1,0,unknown,yes
1004,42,technician,married,secondary,no,994,yes,no,cellular,11,aug,149,1,78,5,failure,yes
1005,38,technician,married,secondary,no,6728,no,no,cellular,25,nov,232,1,96,4,success,yes
1006,56,management,married,tertiary,no,616,no,no,cellular,13,aug,293,2,105,2,success,yes
1007,65,entrepreneur,married,tertiary,no,2331,no,no,telephone,11,aug,425,1,183,2,success,yes
1008,59,entrepreneur,married,primary,no,124,yes,no,cellular,18,nov,531,3,134,7,failure,no
1009,47,technician,married,tertiary,no,2155,no,no,unknown,20,jun,178,3,-1,0,unknown,no
1010,52,blue-collar,divorced,primary,yes,-183,yes,no,unknown,6,may,145,1,-1,0,unknown,no
1011,38,technician,married,tertiary,no,127,yes,no,cellular,14,oct,113,1,50,2,success,no
1012,47,unemployed,married,primary,no,2946,no,no,unknown,5,jun,60,1,-1,0,unknown,no
1013,39,blue-collar,married,primary,no,-176,no,no,cellular,9,jul,176,1,-1,0,unknown,no
1014,27,housemaid,married,secondary,yes,65,yes,yes,cellular,17,jul,59,1,-1,0,unknown,no
1015,73,retired,divorced,primary,no,5028,no,no,cellular,4,dec,696,10,-1,0,unknown,yes
1016,33,blue-collar,single,secondary,no,498,no,no,cellular,12,aug,338,2,104,1,success,yes
1017,51,retired,married,tertiary,no,580,no,no,cellular,19,nov,694,2,-1,0,unknown,yes
1018,28,admin.,single,secondary,no,-170,no,yes,cellular,10,jul,720,2,-1,0,unknown,yes
1019,26,technician,single,secondary,no,668,yes,no,unknown,28,may,576,3,-1,0,unknown,yes
1020,84,retired,married,secondary,no,81204,no,no,telephone,1,apr,390,1,94,3,success,yes
1021,26,unemployed,single,tertiary,no,77,no,no,cellular,26,apr,175,1,-1,0,unknown,yes
1022,34,entrepreneur,married,tertiary,no,105,yes,no,unknown,28,may,249,2,-1,0,unknown,no
1023,38,management,married,tertiary,no,1308,yes,no,cellular,2,feb,626,1,-1,0,unknown,yes
1024,29,services,single,secondary,no,695,no,no,unknown,3,jul,97,1,-1,0,unknown,no
1025,27,admin.,single,secondary,no,18188,yes,no,unknown,12,jun,541,17,-1,0,unknown,yes
1026,54,blue-collar,divorced,secondary,no,615,no,yes,cellular,20,nov,230,1,-1,0,unknown,no
1027,50,blue-collar,married,primary,no,106,no,no,cellular,12,aug,460,2,-1,0,unknown,no
1028,40,technician,married,unknown,no,0,no,yes,cellular,7,jul,161,1,-1,0,unknown,no
1029,32,self-employed,single,tertiary,no,46,yes,no,cellular,14,jun,485,2,-1,0,unknown,yes
1030,55,management,divorced,tertiary,no,2383,no,no,cellular,3,jun,591,2,-1,0,unknown,yes
1031,51,management,married,tertiary,yes,0,no,yes,cellular,29,jul,204,6,-1,0,unknown,no
1032,39,services,divorced,secondary,no,687,yes,no,cellular,9,jul,869,1,-1,0,unknown,yes
1033,40,blue-collar,married,primary,no,7831,yes,no,unknown,14,may,78,1,-1,0,unknown,no
1034,43,unknown,married,primary,no,2113,no,no,cellular,29,jul,33,2,-1,0,unknown,no
1035,31,blue-collar,married,secondary,no,671,yes,no,unknown,18,jun,704,4,-1,0,unknown,yes
1036,35,blue-collar,married,secondary,no,674,yes,no,unknown,30,may,274,2,-1,0,unknown,no
1037,45,self-employed,divorced,tertiary,no,963,yes,no,cellular,12,may,528,5,-1,0,unknown,yes
1038,46,management,married,tertiary,no,0,no,no,cellular,3,mar,305,13,-1,0,unknown,yes
1039,42,services,single,unknown,no,974,no,no,cellular,30,jul,73,2,-1,0,unknown,no
1040,44,technician,single,primary,no,237,yes,no,cellular,25,jul,54,1,-1,0,unknown,no
1041,53,technician,married,secondary,no,5303,yes,no,telephone,17,apr,320,3,180,1,success,yes
1042,33,admin.,single,tertiary,no,2,no,no,cellular,29,jan,132,2,-1,0,unknown,no
1043,23,technician,single,secondary,no,598,no,no,cellular,11,nov,406,1,195,1,failure,yes
1044,35,admin.,single,secondary,no,0,yes,no,cellular,8,may,376,3,-1,0,unknown,no
1045,58,retired,married,secondary,no,255,no,no,unknown,28,may,362,3,-1,0,unknown,no
1046,28,blue-collar,single,secondary,no,53,yes,no,cellular,13,may,93,1,-1,0,unknown,no
1047,42,services,married,unknown,no,1340,no,yes,cellular,30,jul,88,5,-1,0,unknown,no
1048,31,services,married,secondary,no,28,yes,no,unknown,8,may,101,1,-1,0,unknown,no
1049,57,services,married,primary,no,1728,yes,no,telephone,16,jul,164,1,-1,0,unknown,no
1050,32,blue-collar,married,primary,no,0,yes,yes,cellular,8,may,82,2,361,4,failure,no
1051,22,student,single,secondary,no,948,no,no,telephone,18,aug,215,1,197,2,failure,yes
1052,50,blue-collar,married,primary,no,-522,yes,no,cellular,13,may,863,3,-1,0,unknown,yes
1053,40,retired,married,secondary,no,102,no,no,cellular,6,may,168,1,-1,0,unknown,no
1054,34,admin.,single,secondary,no,1704,yes,no,unknown,15,may,218,2,-1,0,unknown,no
1055,35,admin.,divorced,secondary,no,1085,no,no,cellular,5,jun,199,1,86,7,success,yes
1056,40,admin.,single,secondary,no,90,yes,no,unknown,2,jun,252,4,-1,0,unknown,no
1057,25,management,single,tertiary,no,1317,no,no,cellular,26,may,176,1,-1,0,unknown,yes
1058,32,admin.,married,secondary,no,20011,no,no,cellular,20,apr,234,1,-1,0,unknown,no
1059,46,management,married,primary,no,3229,yes,no,cellular,20,apr,1550,1,-1,0,unknown,yes
1060,73,retired,married,unknown,no,519,no,no,telephone,16,oct,434,1,57,1,failure,yes
1061,59,retired,divorced,unknown,no,-49,yes,no,unknown,13,may,248,2,-1,0,unknown,no
1062,29,services,married,secondary,no,30,yes,no,cellular,23,jul,74,3,-1,0,unknown,no
1063,53,entrepreneur,single,unknown,no,717,no,no,cellular,30,jul,594,2,-1,0,unknown,no
1064,29,self-employed,single,tertiary,no,3290,no,no,cellular,12,may,430,1,50,3,success,yes
1065,58,entrepreneur,married,primary,no,1153,yes,yes,telephone,12,may,206,6,337,6,failure,no
1066,38,admin.,divorced,secondary,no,19,yes,no,cellular,5,feb,1130,3,251,2,success,yes
1067,36,admin.,single,tertiary,no,994,no,no,cellular,5,feb,195,1,176,5,failure,yes
1068,32,blue-collar,married,secondary,no,-325,yes,yes,unknown,21,may,171,1,-1,0,unknown,no
1069,57,admin.,married,secondary,no,4391,no,no,telephone,4,feb,1416,1,-1,0,unknown,yes
1070,41,blue-collar,married,secondary,no,140,yes,no,cellular,3,jun,96,1,125,2,failure,no
1071,34,technician,married,secondary,no,1254,no,no,cellular,6,may,77,3,-1,0,unknown,no
1072,48,management,divorced,secondary,no,17,yes,no,cellular,17,nov,195,1,-1,0,unknown,no
1073,45,management,married,tertiary,yes,-577,yes,yes,cellular,24,jul,204,1,-1,0,unknown,no
1074,39,management,married,tertiary,no,839,no,yes,cellular,11,oct,365,2,774,11,failure,no
1075,62,housemaid,married,tertiary,no,1528,no,no,cellular,15,oct,134,2,184,1,success,yes
1076,21,student,single,secondary,no,2488,no,no,telephone,12,jan,661,2,92,1,success,yes
1077,31,management,single,secondary,no,360,yes,no,cellular,18,may,309,1,-1,0,unknown,yes
1078,24,management,single,tertiary,no,2845,no,no,cellular,30,apr,779,2,-1,0,unknown,yes
1079,33,entrepreneur,married,secondary,no,137,yes,no,cellular,15,jul,136,3,-1,0,unknown,no
1080,59,admin.,single,secondary,no,2166,yes,yes,cellular,7,may,574,1,-1,0,unknown,yes
1081,28,services,single,secondary,no,3331,yes,no,unknown,28,may,229,2,-1,0,unknown,no
1082,35,admin.,divorced,secondary,no,1085,no,no,cellular,4,feb,195,6,97,12,other,yes
1083,29,technician,married,secondary,no,-910,yes,no,cellular,21,jul,260,1,-1,0,unknown,no
1084,59,retired,married,secondary,no,5744,no,no,unknown,18,jun,632,1,-1,0,unknown,no
1085,35,blue-collar,divorced,unknown,no,164,no,no,unknown,11,jun,967,2,-1,0,unknown,yes
1086,39,unemployed,single,tertiary,no,7,yes,no,cellular,20,nov,931,4,-1,0,unknown,yes
1087,48,blue-collar,divorced,secondary,no,501,yes,no,cellular,15,may,12,5,-1,0,unknown,no
1088,73,retired,divorced,primary,no,2308,no,no,telephone,30,mar,163,2,-1,0,unknown,yes
1089,42,entrepreneur,married,tertiary,no,5345,no,no,unknown,11,jun,878,3,-1,0,unknown,yes
1090,38,management,single,tertiary,no,3141,no,no,cellular,9,nov,347,4,189,2,success,yes
1091,28,blue-collar,married,secondary,no,948,yes,no,unknown,9,may,455,1,-1,0,unknown,no
1092,42,management,single,tertiary,no,4264,yes,no,unknown,28,may,882,1,-1,0,unknown,no
1093,39,technician,married,secondary,no,251,yes,no,cellular,17,jul,342,2,-1,0,unknown,yes
1094,40,unemployed,divorced,secondary,no,262,yes,no,unknown,14,may,163,5,-1,0,unknown,no
1095,47,blue-collar,married,secondary,no,1568,yes,no,cellular,19,feb,388,1,262,7,success,yes
1096,50,housemaid,married,secondary,no,388,no,no,cellular,8,jun,152,2,89,2,success,no
1097,28,student,single,secondary,no,949,yes,no,unknown,28,may,1730,1,-1,0,unknown,yes
1098,31,admin.,single,secondary,no,476,no,no,cellular,9,feb,284,2,-1,0,unknown,no
1099,53,management,married,secondary,no,90,yes,no,telephone,20,apr,67,5,-1,0,unknown,no
1100,30,technician,single,tertiary,no,3086,yes,no,cellular,7,may,84,3,168,1,failure,no
1101,54,technician,single,secondary,no,224,no,no,cellular,5,aug,134,2,-1,0,unknown,no
1102,39,management,married,tertiary,no,0,yes,no,cellular,5,may,811,2,-1,0,unknown,yes
1103,31,self-employed,married,tertiary,no,229,no,no,cellular,29,jan,184,1,-1,0,unknown,no
1104,30,services,single,secondary,no,-100,yes,yes,cellular,15,may,292,1,-1,0,unknown,no
1105,37,technician,married,tertiary,no,0,no,no,cellular,28,aug,76,1,-1,0,unknown,no
1106,38,entrepreneur,married,secondary,no,680,yes,no,unknown,19,may,144,2,-1,0,unknown,no
1107,30,management,single,tertiary,no,297,no,no,cellular,8,nov,188,1,-1,0,unknown,yes
1108,31,blue-collar,married,tertiary,no,-35,no,no,cellular,20,nov,952,2,-1,0,unknown,yes
1109,54,management,married,secondary,yes,5249,yes,no,cellular,17,nov,108,1,-1,0,unknown,no
1110,35,technician,married,secondary,no,1067,no,yes,cellular,12,aug,179,6,-1,0,unknown,no
1111,81,retired,married,primary,no,1154,no,no,telephone,17,sep,231,1,-1,0,unknown,yes
1112,76,retired,divorced,primary,no,802,no,no,cellular,9,sep,475,5,-1,0,unknown,yes
1113,36,admin.,married,secondary,no,0,no,yes,cellular,29,jul,113,8,-1,0,unknown,no
1114,36,blue-collar,married,primary,no,156,yes,no,cellular,21,nov,219,2,-1,0,unknown,no
1115,33,technician,single,secondary,no,2583,no,no,cellular,25,may,241,1,108,1,failure,no
1116,26,management,single,tertiary,no,-3,no,no,cellular,13,apr,1022,2,-1,0,unknown,yes
1117,55,admin.,married,secondary,no,1662,no,no,cellular,4,jun,94,2,-1,0,unknown,yes
1118,39,self-employed,married,tertiary,no,-3058,yes,yes,cellular,17,apr,882,3,-1,0,unknown,yes
1119,51,admin.,married,secondary,no,3025,no,no,cellular,7,may,476,1,352,1,other,yes
1120,38,services,single,primary,no,-87,yes,no,cellular,13,may,531,1,-1,0,unknown,no
1121,36,housemaid,married,secondary,no,205,yes,no,telephone,18,nov,176,4,-1,0,unknown,no
1122,41,admin.,married,secondary,no,-76,yes,no,cellular,16,apr,263,1,-1,0,unknown,no
1123,37,admin.,single,secondary,no,4803,no,no,cellular,15,jan,396,2,-1,0,unknown,yes
1124,36,technician,married,tertiary,no,911,yes,yes,cellular,25,may,117,2,21,3,failure,yes
1125,35,management,single,tertiary,no,805,no,no,cellular,17,sep,613,1,-1,0,unknown,no
1126,57,housemaid,divorced,primary,no,0,no,no,unknown,9,jun,97,1,-1,0,unknown,no
1127,23,student,single,secondary,no,1234,no,no,cellular,15,feb,379,1,91,1,success,yes
1128,33,housemaid,single,tertiary,no,1107,yes,no,cellular,18,mar,201,1,-1,0,unknown,yes
1129,31,management,married,tertiary,no,1170,no,no,cellular,20,aug,200,4,-1,0,unknown,no
1130,53,services,married,secondary,no,341,no,no,cellular,30,apr,423,2,-1,0,unknown,yes
1131,30,management,single,tertiary,no,4808,no,no,cellular,10,mar,272,1,-1,0,unknown,yes
1132,38,technician,married,tertiary,no,88,no,no,cellular,8,nov,282,2,186,4,success,yes
1133,39,blue-collar,single,secondary,no,169,yes,no,unknown,9,may,38,1,-1,0,unknown,no
1134,30,services,divorced,secondary,no,0,no,no,cellular,29,jan,89,1,-1,0,unknown,no
1135,31,technician,single,secondary,no,863,yes,no,cellular,3,feb,146,1,263,5,success,no
1136,46,management,married,tertiary,no,242,no,no,cellular,4,aug,120,2,96,1,success,yes
1137,48,services,married,secondary,no,2597,yes,no,cellular,6,may,182,2,355,1,failure,no
1138,57,management,married,tertiary,no,4929,yes,no,telephone,31,jul,91,4,-1,0,unknown,no
1139,25,student,single,unknown,no,277,no,no,cellular,27,may,311,2,-1,0,unknown,yes
1140,35,management,married,tertiary,no,0,yes,no,cellular,11,nov,229,2,96,3,success,yes
1141,38,entrepreneur,married,tertiary,no,1438,no,no,cellular,13,nov,122,5,-1,0,unknown,no
1142,29,blue-collar,married,secondary,no,15,no,no,cellular,3,jun,136,1,-1,0,unknown,no
1143,28,student,single,tertiary,no,3733,yes,no,cellular,21,aug,419,5,91,7,success,no
1144,52,admin.,married,primary,no,204,no,no,cellular,19,aug,123,2,-1,0,unknown,no
1145,49,technician,married,secondary,no,1684,no,yes,cellular,1,jun,412,2,-1,0,unknown,yes
1146,44,blue-collar,married,secondary,no,1025,yes,no,unknown,18,jun,200,1,-1,0,unknown,no
